rank,word,avg_tfidf_score,max_tfidf_score,document_count
66,ロンメル,0.5093280563697884,0.5093280563697884,1
67,ドゥニエ,0.5075603421242453,0.5075603421242453,1
68,ツツガムシ,0.49748897564812555,0.49748897564812555,1
69,片田,0.49595417682814635,0.49595417682814635,1
70,イソギンチャク,0.49540917223822534,0.49540917223822534,1
71,キャリー,0.4937578083307646,0.4937578083307646,1
72,サンダース,0.48538842699760726,0.48538842699760726,1
73,ゴジラ,0.48357766486678627,0.9431270559870594,2
74,ジアゼパム,0.48352761753386747,0.48352761753386747,1
75,ラッコ,0.47548125472015224,0.9423863802886402,2
76,黎子,0.4718182592745003,0.4718182592745003,1
77,オグリキャップ,0.46866172866667793,0.46866172866667793,1
78,ブクステフーデ,0.4675118316077835,0.4675118316077835,1
79,ロイヒ,0.46661935619117373,0.46661935619117373,1
80,ルバーブ,0.4656477493445946,0.4656477493445946,1
81,デング熱,0.4626666120040897,0.4626666120040897,1
82,ヤングスタウン,0.4613754493659388,0.4613754493659388,1
83,魚道,0.4584278552153694,0.9111936846793978,2
84,コマネチ,0.4527739586274205,0.4527739586274205,1
85,松下,0.443204764841079,0.443204764841079,1
86,サフラン,0.43934088015107725,0.8656329130761773,2
87,ローテンブルク,0.43789898640625885,0.43789898640625885,1
88,ハーメルン,0.432054959436272,0.432054959436272,1
89,ビッグマイティ,0.43115107876799524,0.43115107876799524,1
90,火消,0.43004253227256833,0.6391896258349796,2
91,バーティ,0.4288316505123412,0.4288316505123412,1
92,鉄山,0.4275730615168085,0.4275730615168085,1
93,ネルトリンゲン,0.42657262058813356,0.42657262058813356,1
94,密儀,0.4241954817028685,0.4241954817028685,1
95,アオギリ,0.42330736782796713,0.42330736782796713,1
96,焼入れ,0.42212358518794113,0.6484103488434629,2
97,マーシア,0.4212535854503652,0.4212535854503652,1
98,ブリタンニア,0.4194452876898799,0.8230039206017253,2
99,学堂,0.4168491416891216,0.4168491416891216,1
100,ビゴー,0.41653806024009987,0.41653806024009987,1
